# https://github.com/semialt/kawasemi/blob/master/Win_DvorakJ/%E3%81%8B%E3%82%8F%E3%81%9B%E3%81%BF%E9%85%8D%E5%88%97.txt
q		に
あc	ま
まn	めん
っc	めん
まm	もん
んc	もん
ま,	むん
、c	むん
ま.	みん
。c	みん
ま/	まん
ーc	まん
わu	ぴょ
よb	ぴょ
わi	ぴゅ
ゆb	ぴゅ
わo	ぴゃ
やb	ぴゃ
わh	ぺ
えb	ぺ
わj	ぽ
おb	ぽ
わk	ぷ
うb	ぷ
わl	ぴ
いb	ぴ
わ;	ぱ
あb	ぱ
わn	ぺん
っb	ぺん
わm	ぽん
んb	ぽん
わ,	ぷん
、b	ぷん
わ.	ぴん
。b	ぴん
わ/	ぱん
ーb	ぱん
てy	『』
れv	『』
てu	「」
よv	「」
てi	（）
ゆv	（）
てo	【】
やv	【】
てp	〈〉
をv	〈〉
てj	・
おv	・
てk	…
うv	…
てl	／
いv	／
て;	《》
あv	《》
て,	，
、v	，
て.	．
。v	．
に9	ゐ
9q	ゐ
にy	ヶ
れq	ヶ
にu	ょ
よq	ょ
にi	ゅ
ゆq	ゅ
にo	ゃ
やq	ゃ
にp	ゎ
をq	ゎ
にh	ぇ
えq	ぇ
にj	ぉ
おq	ぉ
にk	ぅ
うq	ぅ
にl	ぃ
いq	ぃ
に;	ぁ
あq	ぁ
にn	ゑ
っq	ゑ
に,	、
、q	、
に.	。
。q	。
に/	ヵ
ーq	ヵ
が7	ぐぉ
7w	ぐぉ
が9	ぐぃ
9w	ぐぃ
が0	ぐゎ
0w	ぐゎ
がy	ぐぇ
れw	ぐぇ
がu	ぎょ
よw	ぎょ
がi	ぎゅ
ゆw	ぎゅ
がo	ぎゃ
やw	ぎゃ
がp	ぐぁ
をw	ぐぁ
がh	げ
えw	げ
がj	ご
おw	ご
がk	ぐ
うw	ぐ
がl	ぎ
いw	ぎ
が;	が
あw	が
がn	げん
っw	げん
がm	ごん
んw	ごん
が,	ぐん
、w	ぐん
が.	ぎん
。w	ぎん
が/	がん
ーw	がん
じ9	ずぃ
9e	ずぃ
じy	じぇ
れe	じぇ
じu	じょ
よe	じょ
じi	じゅ
ゆe	じゅ
じo	じゃ
やe	じゃ
じh	ぜ
えe	ぜ
じj	ぞ
おe	ぞ
じk	ず
うe	ず
じl	じ
いe	じ
じ;	ざ
あe	ざ
じn	ぜん
っe	ぜん
じm	ぞん
んe	ぞん
じ,	ずん
、e	ずん
じ.	じん
。e	じん
じ/	ざん
ーe	ざん
で8	どぅ
8r	どぅ
で9	でぃ
9r	でぃ
でy	ぢぇ
れr	ぢぇ
でu	ぢょ
よr	ぢょ
でi	でゅ
ゆr	でゅ
でo	ぢゃ
やr	ぢゃ
でh	で
えr	で
でj	ど
おr	ど
でk	づ
うr	づ
でl	ぢ
いr	ぢ
で;	だ
あr	だ
でn	でん
っr	でん
でm	どん
んr	どん
で,	づん
、r	づん
で.	ぢん
。r	ぢん
で/	だん
ーr	だん
ば7	ヴォ
7t	ヴォ
ば8	ヴュ
8t	ヴュ
ば9	ヴィ
9t	ヴィ
ばy	ヴェ
れt	ヴェ
ばu	びょ
よt	びょ
ばi	びゅ
ゆt	びゅ
ばo	びゃ
やt	びゃ
ばp	ヴァ
をt	ヴァ
ばh	べ
えt	べ
ばj	ぼ
おt	ぼ
ばk	ぶ
うt	ぶ
ばl	び
いt	び
ば;	ば
あt	ば
ばn	べん
っt	べん
ばm	ぼん
んt	ぼん
ば,	ぶん
、t	ぶん
ば.	びん
。t	びん
ば/	ばん
ーt	ばん
